Temp Light Pin3 Compass Rotation Magnet
25 255 568 260 0 23
25 0 255 260 0 23
25 0 255 261 0 24
25 0 255 260 0 24
25 0 255 261 0 24
25 0 255 262 0 23
25 0 255 261 0 24
25 0 255 260 0 23
25 0 396 260 0 24
25 0 255 260 0 23
25 0 255 260 0 24
25 0 255 261 0 24
25 0 255 260 0 24
25 0 380 259 0 25
25 0 255 261 0 24
25 0 255 260 0 24
25 0 255 260 0 24
25 0 255 261 0 24
25 0 255 262 0 25
25 0 255 261 0 24
25 0 255 261 0 23
25 0 255 261 0 24
25 0 255 261 0 24
25 0 255 260 0 24
25 0 255 260 0 24
25 0 255 260 0 24
25 0 255 261 0 24
25 0 255 262 0 23
25 0 255 260 0 25
25 0 255 260 0 24
25 0 255 260 0 24
25 0 255 261 0 24
25 0 255 262 0 24
25 0 255 261 0 23
25 0 255 261 0 24
25 0 255 260 0 24
25 0 255 260 0 23
25 0 255 262 0 24
